# Obligatorio | Identificador de contenido único del artículo. Se recomienda usar el SKU del artículo. Cada identificador de contenido debe aparecer una sola vez en el catálogo. Para publicar anuncios dinámicos; este identificador debe coincidir exactamente con el identificador de contenido del mismo artículo en el código del píxel de Facebook. Límite de caracteres: 100.,# Obligatorio | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Obligatorio | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Obligatorio | The current availability of the item. | Valores compatibles: in stock; out of stock,# Obligatorio | The current condition of the item. | Valores compatibles: new; used,# Obligatorio | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Obligatorio | URL de la página del producto específica donde las personas pueden comprar el artículo.,# Obligatorio | URL de la imagen principal de tu artículo. Las imágenes deben estar en un formato compatible (JPG/GIF/PNG) y su tamaño debe ser de 500 x 500 píxeles como mínimo.,# Obligatorio | Marca del artículo. En su lugar; también puedes ingresar un número único de pieza del fabricante (MPN) o un número mundial de artículo comercial (GTIN). Un GTIN puede ser uno de los números siguientes: UPC; EAN; JAN o ISBN. Límite de caracteres: 100.,# Opcional | Categoría de productos de Google para el artículo. Obtén más información sobre las categorías de productos: https://www.facebook.com/business/help/526764014610932.,# Opcional | Categoría de productos de Facebook para el artículo. Obtén más información sobre las categorías de productos: https://www.facebook.com/business/help/526764014610932.,# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Opcional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,"# Opcional | Intervalo del período de oferta; incluidas la fecha y la hora o zona horaria del inicio y la finalización de la oferta. Si no ingresas las fechas; los artículos con el campo ""sale_price"" permanecerán en oferta hasta que elimines el precio de oferta. Usa este formato: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Ingresa la fecha de inicio de la siguiente manera: YYYY-MM-DD. Escribe una ""T"". A continuación; ingresa la hora de inicio en formato de 24 horas (00:00 a 23:59) seguida de la zona horaria UTC (-12:00 a +14:00). Escribe una barra (""/"") y repite el mismo formato para la fecha y hora de finalización. En la siguiente fila de ejemplo se usa la zona horaria del Pacífico (-08:00).",# Opcional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Opcional | Género de una persona a la que se dirige el artículo. | Valores compatibles: female; male; unisex,# Opcional | Color del artículo. Usa una o más palabras para describir el color. No uses un código hexadecimal. Límite de caracteres: 200.,# Opcional | Tamaño o talle del artículo escrito como una palabra; abreviatura o número. Por ejemplo: pequeño; XL o 12. Límite de caracteres: 200.,# Opcional | Grupo de edad al que se dirige el artículo. | Valores compatibles: adult; all ages; infant; kids; newborn; teen; toddler,# Opcional | Material con el que se fabricó el artículo; como algodón; denim o cuero. Límite de caracteres: 200.,# Opcional | Estampado o impresión gráfica del artículo. Límite de caracteres: 100.,"# Opcional | Detalles de envío del artículo; con el siguiente formato: ""País:Región:Servicio:Precio"". Incluye el código de divisa ISO 3 de 3 l4217tras en el precio. Para usar el texto superpuesto ""Envío gratuito"" en tus anuncios; ingresa un precio de ""0.0"". Usa "";"" para separar varios detalles de envío para distintas regiones o países. Solo las personas de una región o país especificado verán los detalles de envío correspondientes a su ubicación. Puedes omitir la región (conserva ambos signos ""::"") si los detalles de envío son los mismos para todo el país.",# Opcional | Peso del envío del artículo. Incluye la unidad de medida (lb/oz/g/kg).,,,,,,,,,,,,,
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,,,,,,,,,,,,,
1,"Rescate Marítimo, Operación Medio Ambiente con Bote de Buceo",Nuevo original y sellado.,in stock,new,299 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://http2.mlstatic.com/D_NQ_NP_910605-MLA70633984736_072023-O.webp,Facebook,,,1,299 MXN,,,,,,,,,,,,,"Rescate Marítimo, Operación Medio Ambiente con Bote de Buceo",,70142,4008789701428,City Action,Playmobil,58,1, $299.00 ,https://http2.mlstatic.com/D_NQ_NP_910605-MLA70633984736_072023-O.webp,1
2,Policía con perro rastreador y botín oculto,Nuevo original y sellado.,in stock,new,150 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/71162_product_box_front/Policía%20con%20Perro?locale=es-MX,es,en,*&$pdp_product_main_xl$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,2,150 MXN,,,,,,,,,,,,,Policía con perro rastreador y botín oculto,,71162,4008789706003,Special Plus,Playmobil,10,2, $150.00 ,"https://media.playmobil.com/i/playmobil/71162_product_box_front/Policía%20con%20Perro?locale=es-MX,es,en,*&$pdp_product_main_xl$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
3,Figuras Niño (Serie 20),"¡12 sobres sorpresa con figuras de PLAYMOBIL! ¡Para montar, coleccionar o combinar cabezas, cuerpos, piernas y muchas otras piezas! Puedes desmontarlo una y otra vez, combínalos de manera diferente. ¡Diversión sin fin todos los días!",in stock,new,150 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70148_product_box_front/PLAYMOBIL-Figuras%20Ni%C3%B1o%20(Serie%2020)?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,3,150 MXN,,,,,,,,,,,,,Figuras Niño (Serie 20),"¡12 sobres sorpresa con figuras de PLAYMOBIL! ¡Para montar, coleccionar o combinar cabezas, cuerpos, piernas y muchas otras piezas! Puedes desmontarlo una y otra vez, combínalos de manera diferente. ¡Diversión sin fin todos los días!",70148,4008789701480,FIGURES,Playmobil,1,3, $150.00 ,"https://media.playmobil.com/i/playmobil/70148_product_box_front/PLAYMOBIL-Figuras%20Ni%C3%B1o%20(Serie%2020)?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
4,Isla pirata portátil,Nuevo original y sellado.,in stock,new,899 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,https://legusplay.com/15911-large_default/playmobil-70113-isla-pirata-portatil.jpg,Facebook,,,2,899 MXN,,,,,,,,,,,,,Isla pirata portátil,,70113,4008789701138,Pirates,Playmobil,91,2, $899.00 ,https://legusplay.com/15911-large_default/playmobil-70113-isla-pirata-portatil.jpg,1
1,Gran Hospital,"El quirófano está equipado con un monitor iluminado (necesita 1 pila x AAA), una luz giratoria y muchos otros accesorios. El ascensor te lleva directamente a la habitación de los pacientes y con un baño en la planta superior. Medidas: 70 x 31 x 34 cm (LxPxA).",in stock,new,3800 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70190_product_box_front/Gran%20Hospital?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,1,3800 MXN,,,,,,,,,,,,,Gran Hospital,"El quirófano está equipado con un monitor iluminado (necesita 1 pila x AAA), una luz giratoria y muchos otros accesorios. El ascensor te lleva directamente a la habitación de los pacientes y con un baño en la planta superior. Medidas: 70 x 31 x 34 cm (LxPxA).",70190,4008789701909,City Life,Playmobil,512,1," $3,800.00 ","https://media.playmobil.com/i/playmobil/70190_product_box_front/Gran%20Hospital?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
5,Gran Camping,con recepción y quiosco. El baño está equipado con ducha que funciona. La tienda tiene espacio para toda la familia. Dimensiones del edificio de recepción: 18 x 17 x 17cm (LxPxA) Dimensiones del cuarto de baño: 28 x 21 x 17cm (LxPxA),in stock,new,1799 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70087_product_box_front/Camping?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,1,1799 MXN,,,,,,,,,,,,,Gran Camping,con recepción y quiosco. El baño está equipado con ducha que funciona. La tienda tiene espacio para toda la familia. Dimensiones del edificio de recepción: 18 x 17 x 17cm (LxPxA) Dimensiones del cuarto de baño: 28 x 21 x 17cm (LxPxA),70087,4008789700872,Family Fun,Playmobil,222,1," $1,799.00 ","https://media.playmobil.com/i/playmobil/70087_product_box_front/Camping?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
6,Escuela Portátil,Nuevo original y sellado.,in stock,new,0 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/5662_product_box_front/Take%20Along%20School%20House?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,1,0 MXN,,,,,,,,,,,,,Escuela Portátil,,5662,4008789056627,City Life,Playmobil,68,1, $-   ,"https://media.playmobil.com/i/playmobil/5662_product_box_front/Take%20Along%20School%20House?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
7,Maletín Grande Pícnic Familiar,Nuevo original y sellado.,in stock,new,380 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/9103_product_box_front/Malet%C3%ADn%20Grande%20P%C3%ADcnic%20Familiar%20?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,2,380 MXN,,,,,,,,,,,,,Maletín Grande Pícnic Familiar,,9103,4008789091031,Family Fun,Playmobil,62,2, $380.00 ,"https://media.playmobil.com/i/playmobil/9103_product_box_front/Malet%C3%ADn%20Grande%20P%C3%ADcnic%20Familiar%20?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
1,Casa Muñecas Maletín,"El set incluye dos figuras PLAYMOBIL y un bebé, un perrito, una casa de muñecas plegable con cuatro habitaciones amuebladas y muchos accesorios. La casa de muñecas es ligera y práctica y se puede llevar a cualquier parte gracias al asa de transporte.",in stock,new,0 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70985_product_box_front/Casa%20Mu%C3%B1ecas%20Malet%C3%ADn?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,2,0 MXN,,,,,,,,,,,,,Casa Muñecas Maletín,"El set incluye dos figuras PLAYMOBIL y un bebé, un perrito, una casa de muñecas plegable con cuatro habitaciones amuebladas y muchos accesorios. La casa de muñecas es ligera y práctica y se puede llevar a cualquier parte gracias al asa de transporte.",70985,4008789709851,Dollhouse,Playmobil,64,2, $-   ,"https://media.playmobil.com/i/playmobil/70985_product_box_front/Casa%20Mu%C3%B1ecas%20Malet%C3%ADn?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
8,Fire Rescue Carry Case,Nuevo original y sellado.,in stock,new,250 MXN,https://www.facebook.com/ElMundoDelRegaloZacatlan,"https://media.playmobil.com/i/playmobil/70310_product_box_front/Fire%20Rescue%20Carry%20Case?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",Facebook,,,2,250 MXN,,,,,,,,,,,,,Fire Rescue Carry Case,,70310,4008789703101,City Action,Playmobil,24,2, $250.00 ,"https://media.playmobil.com/i/playmobil/70310_product_box_front/Fire%20Rescue%20Carry%20Case?locale=es-MX,es,en,*&$pdp_product_main_s$&fmt=auto&strip=true&qlt=80&fmt.jpeg.chroma=1,1,1&unsharp=0,1,1,7&fmt.jpeg.interlaced=true",1
